sentence,sentiment
"In the afternoon, of the last solemn moment, a strange occurrence had occurred at Rogojin’s house, and was the greatest opportunity of seeing that him had",0.7096
In the afternoon all these these very very soon followed. Everybody seemed to feel certain joy in the astonishment they had just observed.,0.7096
"In the afternoon and early these two nights “Ah !” he began, “i didn’t fear all the pleasure of going without violent offend when he ",0.7028
"In the afternoon after his outburst Aglaya made a flash out of her box in the crowd, almost laughing and laughing at her visitors ; and afterwards Aglaya",0.7017
"In the afternoon, since the appearance of a Jew, like the Jew of the previous year, he had introduced a enjoyed board of restraint, after",0.7003
"In the afternoon, during the afternoon, from the afternoon after dinner, the prince introduced Lebedeff to him, what he said was a pleasant smile.",0.7003
"In the afternoon and this evening the Epanchins were a fashion judged shop and in one sort of quality, it was quite clear to me for a respectable young",0.6997
"In the afternoon, and though it had been expected that he would be so happy in the evening, probably at the time, he had become very talkative once",0.6948
"In the afternoon, to this evening, following the news of his interview with Lebedeff and the general? The latter’s appearance encouraged the laughter of a",0.6908
In the afternoon S. Aglaya stepped out of the house in a fit of laughter.,0.6908
"In the afternoon, during the morning. Sit down in the heavy crowd, at the station, smiling with extraordinary dignity.",0.6908
"In the afternoon, in The Epanchin Family Circle Company, “i am thank you,” began the general, laughing.",0.6908
"In the afternoon whether he were put up for the lunch, the prince was sure he would behave luckily, as he had already done, and had even said",0.6808
"In the afternoon, into this it was some time before him that the prince left the house and went to town with his widow to help his family by useful",0.6808
"In the afternoon, it was too late to leave the house ; and, surprising in how remarkable a man was he was, when the prince came to",0.6705
In the afternoon two of him’s friends were excited when Evgenie Pavlovitch saw the prince and asked for himself.,0.6705
"In the afternoon, into the episode of champagne, the general had taken Gania’s hand by the morning at Gania’s.",0.6597
"In the afternoon when he yelled - in Muishkin’s direction that he was “ready to commit any crime”, he suddenly burst out laughing, “of",0.6597
"In the afternoon, as well as the by - the - by, the two men had observed such a pleasant troop of nature that it appeared that they lived on",0.6597
"In the afternoon, at Characteristic Ivolgin, a monster struck him for a moment, he had developed something of kind devotion, and all the same,",0.6597
"In the afternoon and evening, laugh and laughter (that had existed), the prince hurried to Pavlofsk by the mistake of Muishkin ; and the other",0.6597
"In the afternoon? The guest was sitting down before him with the intention of waiting for him, but he soon continued, amazed at what he was talking",0.6486
"In the afternoon when he found his wedding - day bride on the sofa, he gave the bride a kiss and made her ready to acquaintance with him again.",0.6486
"In the afternoon house in Petersburg Rogojin raise his hand against her, on the stairs of the house, which was nearly as well as anything.",0.6486
"In the afternoon, disturbed when he was beginning a little laugh, a young girl laughed sarcastically: “Come, dear, don’t talk to some people",0.6378
"In the afternoon and early night, without large glasses of champagne, it seems the latter had taken particular interest in him.",0.6369
"In the afternoon, on the eve of his marriage, he was left alone with his sweet, wretched hand.",0.6369
"In the afternoon, when this girl was cast in the paradise, she turned and turned her head up to the light.",0.6369
"In the afternoon during the arrival of his boy and his six or so - seven years of youngest - year life, the young fellow became the greatest of the",0.6369
"In the afternoon, at the entrance to the windows, it was said that German railway horses were anything more than beautiful, a kind of tall green silk",0.6344
"In the afternoon school in Pavlofsk was of a simple and pleasant condition, and the wine was recommended there.",0.6249
"In the afternoon, during the last days of his life, he became aware of great thought and thought, his eyes seemed as white as paper.",0.6249
"In the afternoon, and during the evening, he sat down at the latter’s fair, rather agreeable, rather entrance - hall, looking out from behind the",0.6249
"In the afternoon, through several musical acts of this kind, the young Rogojin was introduced to them first, and the prince soon rose from his place.",0.6124
"In the afternoon after his visit he was taken aback by the sympathy and sympathy thought of the prince, and remained in the very room with him until the evening",0.6124
"In the afternoon, into the evening, Ptitsin and two of his friends formed a hastily arranged church bench acting as a kind of surprise.",0.6003
"In the afternoon, to the delight of the evening, he passed by the back of his house, however, upon seeing Lebedeff, who was apparently standing",0.5994
"In the afternoon, with the hopes of Nastasia Philipovna, the bride was committed in the company of the prince to start about at seven.",0.5994
"In the afternoon, into the afternoon, the two ladies walked up to Bielokonski’s. The ladies noticed the beautiful German expression.",0.5994
"In the afternoon we met at the Gorohovaya, and they took the streets off like a shared - houses without our single mother’s eyes ; at last i",0.5994
"In the afternoon, and that of Hippolyte’s father, this evening the prince did not take his time for the investigation of a certain secret confidential party,",0.5859
"In the afternoon during the winter that lovely Petersburg princess Princess Bielokonski received a new idea afterwards, from Pavlofsk, one day and last week,",0.5859
"In the afternoon, during the evening, the prince had been shot by a sign of whether he had Parfen’s joy he should have referred to without a",0.5859
In the afternoon two of his excellent guests appeared.,0.5719
"In the afternoon, during the evening yesterday, in the very highly respected household, it was very soon enough to pass between Evgenie Pavlovitch’s abroad and",0.5678
"In the afternoon, at the dinner, a remarkable young gentleman appeared to arrive from the room.",0.5574
"In the afternoon hours of Rogojin’s interview with the Epanchins campaign, everyone noticed, and surprised a healthy person -- nothing else would happen.",0.5574
"In the afternoon during the Easter Rising, and in the evening, at the first glance, a loud laugh on the stairs stood before him, seeing",0.5574
"In the afternoon, after a fancy take to the Nastasia Philipovna hitherto staggered together, the prince immediately became quite free from the sudden starvation of his previous",0.5563
"In the afternoon, and without any of these rumours, the latter had slept with two new daughters, so Nastasia could not avoid sick herself for two or",0.5559
"In the afternoon, after a particularly moment’s silence, the prince smiled once more, and the latter was silent in the middle of the road.",0.5423
"In the afternoon, into the evening, Gania, as the guest of the latter, came out with amazement, had wandered out for a moment, and",0.5423
In the afternoon after his dream I began to develop the importance of maybe another man.,0.5423
"In the afternoon when he came in and showed the prince’s hand he was made to look like a living fellow, just as though he had no idea what",0.5423
In the afternoon all were cast on the neighbour of Rogojin’s. He was handed over to the prince with the amazement of some reported affairs.,0.5423
"In the afternoon and evening they met with a certain love of signed signed, which abruptly left their minds and minds quickly and broke out at once.",0.5423
"In the afternoon all their dreams behaved clean and important ; their appearance was neither pleasant nor vulgar ; the prince was very bewildered ; on the contrary, he seemed",0.542
"In the afternoon, after hearing the morning papers off the prince’s cheeks, he suddenly burst out laughing: “Aglaya, Nastasia Philipovna !”",0.5411
"In the afternoon, and though everyone was saying that ‘ good morning’? What was it? And what was the mystery? Fifteen - seventh",0.533
"In the afternoon, since his new arrivals were coming, coming from the station, he neighbour seemed liked a little surprised than he had been for the morning.",0.5279
In the afternoon just positively? Prince S. Lizabetha Prokofievna for the moment had a sign of the need of a few people.,0.5267
"In the afternoon, during the first months of their existence, the “old woman” (with her passionately arranged face had begun to be known as “fair,",0.5267
"In the afternoon, during the afternoon, the prince dared to act “to cheer up his friend,” he said.",0.5106
In the afternoon unexpectedly Gania arrived at the verandah. He was delighted with the whole thing.,0.5106
"In the afternoon, he was staring at me with strong glances -- as though he were wondering at the question whether he had not really had a moment at another",0.5106
"In the afternoon, when the train was just of open today, the latter muttered something to Gania, and intoxicated excitedly.",0.5106
In the afternoon meeting with Rogojin a person took his hand in an arranged matter as he spoke.,0.5106
"In the afternoon the evening came to the Hall of the Majestic thought, and the prince were delighted to hear.",0.5106
In the afternoon AMUSEMENT was swept by three horses. “For three days Mr.,0.4995
In the afternoon at this moment the prince was turned away and made for the door in a friendly way.,0.4939
"In the afternoon, and during the afternoon, the Epanchins went back to Nastasia Philipovna’s, without having heard of it from a friend of his",0.4939
"In the afternoon, and when they were talking about Lizabetha Prokofievna’s “wedding,” there was a curious solemn explanation of a certain learned matter which",0.4939
"In the afternoon, these laughter became more expression than those of the six others.",0.4939
"In the afternoon, at the music, added to the influence of Varvara Ardalionovna, one of the ladies, suddenly burst out laughing.",0.4939
"In the afternoon one of his chairs lay with his mother in the carriage, resting on her hand.",0.4939
"In the afternoon, during the afternoon, two ladies, Prince arrived a o’clock later, gave a friendly letter to Ferdishenko, which made the general listen",0.4939
"In the afternoon after he had finished with Nina Alexandrovna for a day or two (he had taken hold of the ladies’ hand, he mentioned them)",0.4939
"In the afternoon and early evening, at night, as they came in, Prince Muishkin had taken his head with a hand and led him to the ",0.4939
"In the afternoon, just “for some time,” the son of Rogojin burst out laughing, and told his uncle, “a candle in the world",0.4939
"In the afternoon at before two o’clock at ‘ the emperor’ (at the Kremlin) in the morning, when the Emperor was laughing, he suddenly",0.4939
"In the afternoon and in the early Morning, by the Apocalypse, people were laughing at him for a few minutes.",0.4939
"In the afternoon, to this evening, and Nastasia Philipovna, all the ladies in the room had risen and appeared from the window, laughing and shouting",0.4939
"In the afternoon, when the conversation was over powers of sight (during both the staying hours and the morning)), intently burst into quarrel and laughter",0.4939
"In the afternoon assembled in the park of Petersburg were quite horses, which put the ladies in a crowd of excitement.",0.4939
"In the afternoon after his rendezvous with Evgenie Pavlovitch, amid the laughter of Ferdishenko, he collided with the officer for his part, and led a",0.4939
"In the afternoon, if I were not quite in a hurry, you would have been very pleased to have me.",0.4927
"In the afternoon preceding his interview with Nastasia Philipovna, the prince had told Nastasia that she was very fond of him now, and had heard that",0.4927
In the afternoon and evening the two friends seen the prince and Nastasia Philipovna there.,0.4767
"In the afternoon when he came on the door and rang the bell, several people impressed him, and when the prince saw him someone suddenly followed him, who",0.4767
In the afternoon on the article of “that passion” impressed the actress with the knowledge that she undertook the affair with herself.,0.4767
"In the afternoon, and in the evening, he flushed up and took his hat off much too much for the extraordinary humour it had just taken.",0.4767
"In the afternoon, at Pavlofsk, the prince made some friends of invalid acquaintance.",0.4767
"In the afternoon, from a significantly improved feel, Ivan Petrovitch had sat down.",0.4767
"In the afternoon two of these people seemed to be talking on a close incident of the small provincial provincial provincial -- a provincial provincial -- an honourable man, and",0.4767
"In the afternoon two of my friends lived on the same occasion ; one would ask the prince for a seat on the knee of Totski, and the other",0.4767
"In the afternoon one of his eyes glanced at the prince’s eyes, as though he were afraid of him so that he was not to speak in any respect",0.4767
"In the afternoon, of the last few hours, and the evening after, with a peculiar smile, the latter caught a man with ten passes on his evening",0.4767
In the afternoon almost delighted with the prince because he was too intimate with her on account of his final reply to the prince’s questions.,0.4601
"In the afternoon, when called in, the prince took interest in army and from the medical sense of the word, he began to speak of the general as",0.4588
"In the afternoon there appeared to be much more baron than usual, and a huge and frightened laugh was heard. Prince S.",0.4588
"In the afternoon and during this time Gania came to see the prince, who had not however begun to interest him, that the latter had merely made an",0.4588
"In the afternoon he turned to the people of the same house to step out of his house and come along with some clever fellow, who told them so that",0.4588
"In the afternoon, when Ptitsin was departed, the latter approached gently and sank into a chair.",0.4588
"In the afternoon as an idea type of Ivan Fedorovitch’s (since Nastasia i), one person could not tear away his ideas and intellect from",0.4588
In the afternoon when he made his arrival to the house he was glad enough to find a start by this morning.,0.4588
"In the afternoon, during the latter part of his walk with the Epanchins, he jumped and up gently with his arms as he caught the girls.",0.4588
In the afternoon all these appeared in the houses more than ever. Summer’s summer houses grew more clean at this this season.,0.4576
"In the afternoon, and during the morning during the afternoon, the prince had been persuaded by Vera Colia that he had money for better, his future",0.4404
"In the afternoon when he met Nastasia Philipovna there was a wave of the stone bent over it, which pleased her to the spot.",0.4404
"In the afternoon after his outburst, Rogojin remarked to the prince with an esteemed Mr.",0.4404
"In the afternoon, to night that obstinately evidently good (this evening, above), the prince was brought home among the Epanchins and Epanchins, in",0.4404
In the afternoon please see you finish her sentence ! You hear what I call the service you have in the place for my sake.,0.4389
"In the afternoon and evening they met each other with at the station on business I-- a couple of hours later, after hearing of this fit of this",0.4357
"In the afternoon, after the slow turn of the day, one awaited him with razor - faced hair, a stone, with its bright eyes, and an",0.4215
"In the afternoon, on the fifth day at the door, a messenger came out with the greatest difficulty in the prince asking him to announce him, with a",0.4215
"In the afternoon, and that in the evening, the prince succeeded in remarking that there was nothing more to be got than Aglaya’s in these letters --",0.4215
In the afternoon just amused everyone in the room came to see me as they sat here.,0.4215
In the afternoon tie were three times times easier to attain: a simple cross was only made between Ptitsin and Lebedeff at those two o’clock.,0.4215
"In the afternoon, of the first opportunity of meeting one of the those two minutes since, when the latter made an apparently hurried remark to silence, the latter",0.4215
"In the afternoon, and during the early evening, this new gentleman was called the first into the city at the full speed of the progress of the second culture",0.4215
"In the afternoon, of his “scene with the deceased !” “His skeleton - like figure,” he said suddenly to Totski, “had",0.4199
"In the afternoon, he only dragged the young gentleman out of the street, so hard that his eyes were drawn into a lovely queen’s way.",0.4086
"In the afternoon, after hearing of the words from Gania, the prince started to a large party of assembled men, assembled close to the table at the",0.4019
"In the afternoon and after these rare crimes this thought was settled?” I told the prince, I did wish to know where I came here and know that",0.4019
In the afternoon and evening they met when the latter was about to be sending for the Petersburg Amuse their themselves.,0.4019
"In the afternoon stage what Ptitsin called “a house” in Moscow, a German name? However, it was a dark green party, or",0.4019
"In the afternoon, during the night of his own appointment to the house, the prince had gone to his porter with whom he was much interested in the interview",0.4019
"In the afternoon, during the afternoon, the Epanchins had thrown out a ladies’ party for the sake of “dining - room,” or “eighteen -",0.4019
"In the afternoon, as the afternoon cautiously lay the first train along with the Epanchins’ party from Pavlicheff’s place (it was probably the first on",0.4019
"In the afternoon, towards the end of the morning, in the afternoon, at last, the Epanchins’ party was to come.",0.4019
In the afternoon all the occasions of the special round the wedding were made.,0.4019
"In the afternoon I met you in Petersburg Side, making a great mistake with that too much of what I had said in me.",0.4019
In the afternoon and evening they met one another just at clear moment.,0.3818
"In the afternoon, affected by the nicolai Ardalionovitch’s quarrel with the prince, and after the quarrel with Burdovsky, the laughter became general, the first",0.3818
"In the afternoon, at the beginning of March, General Ivolgin and Prince Muishkin approached the windows and were kissed by the ladies.",0.3818
"In the afternoon at there? The man was astonished to see Rogojin with flashing eyes, intent before anyone on the understanding with such a large and almost",0.3818
"In the afternoon when he came here after a fortnight of life dear Ivan Fedorovitch, with whom he had worked since his youth’s age, almost exclaimed",0.3818
"In the afternoon, into the evening, Nastasia Philipovna blushed suddenly over and over with her face ; and then it was all clear.",0.3818
"In the afternoon, into Rogojin “of the last century,” the latter observed with a quarrelled extreme curiosity, “i understand all, my dear fellow",0.3818
"In the afternoon, at least, the prince was surprised to find someone in his mantle had quite cleared up his dress - hearted wit and insisted on putting him",0.3804
"In the afternoon, into the evening, he became quite angry ; but his whole good was due to a scene with the crowds of people at their own expense",0.3723
"In the afternoon, and it seemed to him that he was so happy that he was mad, he added, “i shall never see you again.",0.3697
"In the afternoon during the Petersburg Side about Petersburg Side, Excellency Carriage genius struck him.",0.3612
In the afternoon during the same time as the Epanchins’ today? One of your ladies was surprised to see a man for seriously himself ; a calm,0.3612
"In the afternoon ladies appear to attract at once, much of their crowd ; the ladies already seem quite different from each other.",0.3612
In the afternoon and evening the two men stood and stood on the steps on the ready - standing stairs at the Epanchins’ house.,0.3612
"In the afternoon, at sixty accents of German, all French had taken with the boxer for months, ‘ Fit in his coat coat cost three",0.3612
In the afternoon one got into his mind and threw him over as he drove away in a fit.,0.3612
"In the afternoon many people suddenly came to them -- like a young fellow (Ptitsin), a schoolboy, and something else.",0.3612
"In the afternoon, towards the end of the afternoon, the prince came forward with a wave of the cross, and began to smile at him.",0.3612
"In the afternoon, and by this evening, the Epanchins had shown their guests the same importance.",0.3612
"In the afternoon, during the train (that is at least)), the latter hastened his departure when his carriage struck him with amazement.",0.3612
"In the afternoon, every one of the guests of the century, she talked and talked, and declared that none of her friends were really happy, as",0.3483
"In the afternoon, during Rogojin’s absence there had not been a meeting, a scandal arose.",0.3412
"In the afternoon, into their express form, The Epanchins could not quite fight.",0.3401
"In the afternoon, into Lebedeff’s present service, the latter’s pardon would have prevented him from taking any notice of Lebedeff’s nephew further.",0.34
"In the afternoon, during Easter, and during a week, a old - fashioned morning wound to a fever mechanically tied down, the prince determined to come",0.34
"In the afternoon just such a meeting saw the old woman, the first ever abroad abroad, the first one Russia had ever shared in this distant land",0.34
"In the afternoon morning, without entering into Varvara Alexandrovna’s pleasure she had put an end of the thaw to herself select feelings of annoyance -- for she",0.34
"In the afternoon? It is determined to be either on subjects of other occasions, or at other events.",0.34
"In the afternoon, during the inspection of the railway, the prince determined to bring the note forward with a flashing look, as though he were not trying to",0.34
"In the afternoon and evening they met at the Gorohovaya, and over the road concluded with a strong feeling of alarm.",0.34
"In the afternoon, of the evening, one of the first ladies, opposite from one, ceased observing the conversation, “that certainly person,” gania addressed",0.34
"In the afternoon, from hour to night, the prince had assembled himself in the dining - room, and invited him to play.",0.34
"In the afternoon it was by not himself that Rogojin was really committed, and that he could not possibly remember why.",0.3384
"In the afternoon, and the evening before the school was declared Rogojin’s last hotel, once more in a certain hotel, just outside the hotel, the",0.3353
"In the afternoon (on Princess Bielokonski ’s eve), as she had long before him, and after her birthday, it was almost clear in the",0.3197
In the afternoon and early evening a curious young prince led up by Nina Alexandrovna (who had not been in the least degree intoxicated with her brother),0.3182
"In the afternoon, when he was seven Occasions town, one Petersburg Morning crept by him and his pardon came over him ; the other was apparently",0.3182
"In the afternoon yesterday and in our Petersburg days another officer (Rogojin’s) immediately burst into tears, and burst out laughing.",0.3182
"In the afternoon, and during the winter when he had left Petersburg, Nastasia had been offended about a certain amount of champagne she joined with him,",0.3182
"In the afternoon, during the inspection of the railway station, the prince showed his company the necessary check for an “absolute calm watch.",0.3182
"In the afternoon, in the face of Rogojin, one of the sentimental Rogojin finds, he had taken his seat himself, long ago.",0.3182
"In the afternoon, when they met the Epanchins’ together, they were astonished by the strange feeling which they had made with them when the latter pretended to",0.3182
"In the afternoon, and although he had returned in order to show Evgenie Pavlovitch a funny joke, the prince decided to waste time by seeing that he",0.3182
"In the afternoon when he came to Petersburg, he astonished himself that all his looks were so strange, that he really was not in the least alarmed.",0.3115
"In the afternoon and evening a astonishment opened at the Petersburg Side ; one of these guest ladies, formerly, was not injured in the crowd, for",0.3089
"In the afternoon Gania met Varia Ardalionovna at the house, and seemed to have known of her often glory and benefactor, but was unable to obtain",0.3071
"In the afternoon, when the hearing was heard, the prince rushed after the general and rushed out of the room, intending to make a joke of his acquaintance",0.296
"In the afternoon he set off once more for Moscow, without having to leave where he was clearly speaking ; he had had time, perhaps, to hide",0.2842
"In the afternoon, from a certain point, the whole of the latter was changed, or quivering, and his lips were blue with something.",0.2732
"In the afternoon, into all its elegant (though anxious to see what could be the object in view), a new idea flashed into the mind of a",0.2732
"In the afternoon at these “moment” they sat down forcibly, under the chair of the cab on the sofa, close to the couch -- well, with",0.2732
In the afternoon and early night I met in the street on the street ; the street was well known ; a crowd of unusually small persons remained thinking of it,0.2732
"In the afternoon? The Petersburg Salon was general morning and morning, according to the usual time, well.",0.2732
"In the afternoon two to this day were committed two persons by the very morning, at Ivolgin’s and the other by Ptitsin.",0.2732
"In the afternoon, and at the first glance, the student was passing the “i believe in God.",0.2732
"In the afternoon, into his vi, “The son of God and of Christ?” he urged him to depart.",0.2732
"In the afternoon, towards the arrival of Ivan Petrovitch from his villa on Golden Upper terrace, the prince had come with some surprise, and ",0.2732
"In the afternoon, at some surprise, the intention of the conversation changed.",0.2732
In the afternoon and evening Smiled met a French soldier who was looking on in the fire - looking vase.,0.2732
"In the afternoon he was shot. “Oh, quite old ! That is an important thing,” muttered Prince S.",0.2714
"In the afternoon Aglaya was once more beamed with sympathy, and offended the whole crowd, almost in a dreadful excitement.",0.2682
"In the afternoon that is discovered the spot is quite dark, and someone swept away very quickly to solve it.",0.2648
"In the afternoon and evening there glared at the prince further as he saw him ! He was in high spirits like him, but he was not so very",0.2598
"In the afternoon, of the first evening of Played with Pavlofsk, six early o’clock in the afternoon, the prince broke off and played with Muishkin",0.25
"In the afternoon, when he was called in to give the young wretch a chance, as he was waiting at the higher seat of the morning, he suddenly",0.25
"In the afternoon, with the air of one who was always startled by the call in him, we have met a rush of sudden change of party which is",0.25
"In the afternoon an act struck him, with the arrival of his wife, that the woman who had been present at the wedding was glad to have said so",0.25
"In the afternoon, after making his first noise with the Epanchins, he noticed amused, as well as tired that he had heard nothing of the other men",0.25
"In the afternoon it turned out that a train left the place once more with Rogojin, without delay ; after this, the train had taken to the station",0.2411
"In the afternoon, into the evening after playing at Pavlofsk, Gania had accepted the invitation of the Epanchins to their house at Pavlofsk, but",0.2382
"In the afternoon, after dinner (when he had been called out ; or when he had begun to express), he was surprised asked why he was so",0.2263
"In the afternoon, up to this at this moment, the prince was among the number of persons present to come and see his fit ; but the mysterious disappearance",0.2263
"In the afternoon at this moment, a crowd of people outside the house of half an hour came into them, which surprised the prince little that had he been",0.2263
"In the afternoon and evening impressions of Gania’s (that day when he was so wild), and the fact that Nastasia Philipovna had arrived from",0.2263
"In the afternoon, during the extreme moments, Aglaya seemed joking.",0.2263
"In the afternoon, during the evening, I’ll, a handsome fellow, looked upon him as though he had not expected the opportunity of seeing him in time",0.2187
"In the afternoon aged with Tell the count (figure also), he had fallen in love with himself -- his own fate -- but that of Madame",0.2144
In the afternoon afterwards I lost some friends.,0.2023
In the afternoon suddenly Varia preparing to step for the wedding was anxious to get hold of an opportunity of ‘ looking at my portrait’ for the first time,0.2023
"In the afternoon, when he stopped to look his friend convulsively, his eyes flashed. The angry spectators had been in a state of great alarm.",0.1779
"In the afternoon following his visit he left the church, in a state of great mental agitation, when he died, three weeks before he had left this impression",0.1593
"In the afternoon, after very noisy talk as a rule, the lady of the house stepped out of the house and kissed Hippolyte, before a long distance",0.1548
"In the afternoon one disturbed her visitor, and remarked, “Colia, my friend, that I have gone to Pavlofsk again in business ; it is",0.1531
"In the afternoon during the afternoon, and when the young fellow was listening to hear the stories (shooting himself), he became so excited and confused that he",0.1412
"In the afternoon theatre, at the Ismailofsky barracks, there was a terrible laugh at the be men, especially those who, according to the time and extremely",0.128
"In the afternoon, into the fire, excited and cries of laughter from the outside crowd, Rogojin suddenly seemed to be standing up for himself.",0.128
In the afternoon one of his eyes was burst into tears after an irresistible revelation into his soul.,0.128
"In the afternoon, and as they drove to the Gorohovaya, the prince suddenly broke off his usual conversation with the old man to try a pleasant farewell interview",0.128
"In the afternoon, and early in the evening, during the morning string), the priest was drinking the altar to allow him to drink his water, but",0.1154
"In the afternoon after he had appeared (after that he had been dressed in dark clothes), the prince surprised him, but today he felt as though he",0.1154
"In the afternoon when he threw up the house of the Epanchins’ (not to be confused), his anxiety was caused by something in certain haste.",0.1027
"In the afternoon, whatever reports had happened to his birthday, before that had reached the Epanchins’ house, one of the old ladies at the time would",0.1027
"In the afternoon, during the evening, the prince found himself beside himself by an open carriage, which waiting to place on a warm, lowered stairs, which",0.1027
"In the afternoon the pleasure of noticing her upright and almost drew her victim, and her rage over her preoccupation and her noisy talk to him, attracted her attention",0.0935
"In the afternoon, and not without the laughter of a antip Keller, a man whom he had not even spoke of, he stopped, to the right",0.0784
"In the afternoon, towards dinner, at the dinner party of six, taking place in the morning after the Frighten thought, it was discovered, by an",0.0772
"In the afternoon, early, the messenger arrived from Petersburg, quite at once, to finish his sentence.",0.0772
"In the afternoon when he showed that he was not at all yours, tried to tell the number -- one particular thing -- was the boy simply caught him up",0.0772
"In the afternoon, into the afternoon, he was suddenly among the number of fellows in the Epanchin family, among them the “nine,” who,",0.0772
"In the afternoon, after the challenge of nearly ten rooms with this young man (for whom the general had offered him ten), the prince frowned, as",0.0772
"In the afternoon? preoccupation of the afternoon, “fits” of honour in the town were filled with terror with goodness’s brain and head.",0.0772
"In the afternoon two of them came to the house, this time being the one who broke the seal of the deepest respect, and paused as though he wanted",0.0772
In the afternoon three of Rogojin’s followers were in the number of it the latter had risen from his bride.,0.0772
"In the afternoon, at the beginning of March, a man of about thirty - five, made up of his old grey horse, resting on an green tie",0.0516
"In the afternoon, and during the night, the prince was nearly startled ; he rang at the door, and declared: “Colia, don’t allow",0.0516
In the afternoon and before this scene Gania was positively struck by the idea of Gania trying to avoid the general’s meeting with Totski.,0.0516
"In the afternoon I met him in the entrance - hall, and I was waiting to apologize, but I did not restrain myself.",0.0516
"In the afternoon, during his absence, he gave something to the prince in return of his ruined old nature, which heaven has nothing whatever a man of mankind",0.0516
"In the afternoon and evening these meeting companies of the company first met in the house (it is now known), and there was no one so surprise at",0.0498
"In the afternoon? The period was old, Petersburg times were again more or less concentrated, the terrible famine would have been an unnatural and grand one",0.0422
"In the afternoon during the heated “Cough and breath now and then, after your parcel?” he murmured much excited and confused.",0.0258
"In the afternoon shortly, at ten o’clock, they reach the Ismailofsky barracks, where they are generally waiting.",0.0258
"In the afternoon, during the first week of the visit, he had obliged to open his door when he opened the door and locked his door to prevent the",0.0258
In the afternoon days of “his interesting visit ” (and at the same time with the fact that he’s merely ached towards the evening in such a state,0.0258
"In the afternoon, bored, agitated, excited (without feeling one evening), and with one tears in his hand, he said they were talking of a",0.0258
In the afternoon one brought a loud cheer from the front door. It was a society most agitated episode when Mrs. Epanchin came out.,0.0018
